Gene Name,Time,value
SPAC222.08c,30,5.59561495
SPAC2E1P3.04,30,2.273122475
SPAC21E11.04,30,13.89140075
SPCC663.07c,30,1.82639105
SPAC9.10,30,1.04991404
SPBC947.06c,30,2.055765675
SPBC1271.05c,30,2.865444225
SPBC725.01,30,2.0534654249999997
SPBC409.12c,30,2.491602825
SPAC23G3.02c,30,2.1491682250000004
SPAC1F3.09,30,3.5974822499999997
SPBC29A3.01,30,2.3205464750000004
SPBC359.05,30,3.3206102
SPAC11E3.09,30,2.9144422000000003
SPBC3H7.09,30,1.8330464
SPAC227.18,30,2.3708929999999997
SPAC2E12.03c,30,6.531540825
SPBC887.15c,30,3.09452195
SPCC4F11.04c,30,2.22432785
SPAC869.02c,30,2.7411596749999996
SPAC56E4.03,30,4.07234925
SPBC19C2.04c,30,1.61145345
SPAC1F8.04C,60,38.65442475
SPCC663.08C,60,33.33782
SPBC609.04,60,32.71952925
SPCC663.06c,60,31.773939499999997
SPBC409.13,60,20.71634775
SPBC359.02,60,7.676294524999999
SPCC18B5.02c,60,12.55176325
SPBC3F6.03,60,14.958216625
SPCC576.02,60,8.9340975
SPAC513.06c,60,15.77814725
SPCC24B10.20,60,10.189341500000001
SPCC550.10,60,10.72856875
SPBC16A3.17c,60,8.4196279
SPCC1450.13c,60,13.0379155
SPBC1604.01,60,11.543634249999998
SPAC1F7.12,60,9.35643825
SPCC18B5.01c,60,6.005025700000001
SPAC22G7.08,60,9.535368025
SPAC23G3.03,60,11.435711
SPCC1281.07c,60,8.22154005
SPAC1B3.15c,60,3.7099073249999996
SPAC3C7.14c,60,5.6403152500000004
SPBC1652.01,60,5.000620175
SPBC17D11.03c,60,3.8934486500000003
SPAPB8E5.04c,60,3.44898685
SPBC25D12.04,60,6.023393049999999
SPAC29B12.14c,60,2.118217625
SPCC1223.09,60,2.8570508250000004
SPAC30.01c,60,2.75029635
SPAC1B3.06c,60,4.260446775
SPAC3C7.02c,60,3.7532497000000005
SPBC21B10.12,60,3.387737825
SPAC6G10.03c,60,4.581270825
SPACUNK4.10,60,3.9181540999999998
SPAC222.08c,60,3.1578855499999996
SPAC2E1P3.04,60,3.5184751000000003
SPAC21E11.04,60,9.590122000000001
SPCC663.07c,60,2.998559575
SPAC9.10,60,1.7379502500000001
SPBC947.06c,60,2.454605025
SPBC1271.05c,60,4.1721707750000006
SPBC725.01,60,2.500433125
SPBC409.12c,60,3.35310575
SPAC23G3.02c,60,4.724792825
SPAC1F3.09,60,4.040192675
